ticker,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label
PG,,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support)
BRK-B,,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Significantly above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought · Wide divergence,bull,Bullish zone · Zero-line cross ↑,bull,Breakout above prior resistance
HD,,,3,4,1,Moderately bullish,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Bounce off prior support
AAPL,,,2,4,2,Moderately bullish,251,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support)
GOOGL,,,2,4,2,Moderately bullish,251,Daily,bull,Bullish bar,bull,Above trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Oversold (< -100),bear,Below SMA (acting as resistance)
MA,,,2,4,2,Moderately bullish,251,Daily,bull,Bullish bar,bull,Above trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bull,Bounce off prior support
GOOG,,,1,3,2,Neutral,251,Daily,bull,Bullish bar,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Oversold (< -100),bear,Below SMA (acting as resistance)
MSFT,,,-1,2,3,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,Oversold · Wide divergence,bear,Bearish zone · Zero-line cross ↓,bear,Below SMA (acting as resistance)
JPM,,,-1,2,3,Neutral,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support)
V,,,-1,2,3,Neutral,251,Daily,bull,Bullish bar,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bear,Below SMA (acting as resistance)
JNJ,,,-1,2,3,Neutral,251,Daily,bear,Stale green (3-bar exhaustion),neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support)
NVDA,,,-2,2,4,Moderately bearish,251,Daily,bear,Bearish bar,bear,Above trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold · Wide divergence,bull,Oversold (< -100),bear,Below SMA (acting as resistance)
AMZN,,,-2,2,4,Moderately bearish,251,Daily,bear,Bearish engulfing,bear,Above trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance)
TSLA,,,-2,2,4,Moderately bearish,251,Daily,bear,Bearish bar,bear,Above trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold · Wide divergence,bull,Oversold (< -100),bear,Below SMA (acting as resistance)
LLY,,,-2,2,4,Moderately bearish,251,Daily,bear,Shooting star,bear,Above trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support)
UNH,,,-2,2,4,Moderately bearish,251,Daily,bear,Bearish harami,bear,Significantly above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support)
AVGO,,,-2,2,4,Moderately bearish,251,Daily,bear,Bearish bar,bear,Significantly above trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold · Wide divergence,bull,Oversold (< -100),bear,Below SMA (acting as resistance)
MRK,,,-2,2,4,Moderately bearish,251,Daily,bear,Bearish bar,bear,Significantly above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bear,Overbought (> +100),bear,Rejection at prior resistance
META,,,-4,1,5,Strong bearish,251,Daily,bear,Bearish bar,bear,Significantly above trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,Oversold · Wide divergence,bear,Bearish zone · Zero-line cross ↓,bear,Break below prior support
XOM,,,-5,0,5,Strong bearish,251,Daily,bear,Bearish bar,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bear,Bearish zone · Zero-line cross ↓,bear,Below SMA (acting as resistance)
